model,mode,gate,arm,case,sgroup,D,outcome,p0,extra
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,14,maroon,8292567,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,15,copper,7334003,CORRECT,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,15,copper,7334003,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,15,copper,7334003,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,15,copper,7334003,WRONG_DISTRACTOR,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,16,green,7388902,CORRECT,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,16,green,7388902,WRONG_DISTRACTOR,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,16,green,7388902,WRONG_DISTRACTOR,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,16,green,7388902,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,17,crimson,1159943,CORRECT,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,17,crimson,1159943,OTHER,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,17,crimson,1159943,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,17,crimson,1159943,OTHER,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,18,white,8070402,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,18,white,8070402,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,18,white,8070402,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,18,white,8070402,WRONG_DISTRACTOR,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,19,black,8977885,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,19,black,8977885,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,19,black,8977885,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,19,black,8977885,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,20,maroon,1920912,CORRECT,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,20,maroon,1920912,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,20,maroon,1920912,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,20,maroon,1920912,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,21,olive,6261778,CORRECT,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,21,olive,6261778,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,21,olive,6261778,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,21,olive,6261778,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,22,black,4767327,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,22,black,4767327,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,22,black,4767327,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,22,black,4767327,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,23,indigo,9899117,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,23,indigo,9899117,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,23,indigo,9899117,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,23,indigo,9899117,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,24,ivory,1948731,CORRECT,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,24,ivory,1948731,WRONG_DISTRACTOR,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,24,ivory,1948731,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,24,ivory,1948731,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,25,grey,8827166,CORRECT,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,25,grey,8827166,CORRECT,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,25,grey,8827166,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,25,grey,8827166,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,26,green,2451349,CORRECT,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,26,green,2451349,CORRECT,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,26,green,2451349,CORRECT,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,26,green,2451349,OTHER,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,27,grey,1348652,CORRECT,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,27,grey,1348652,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,27,grey,1348652,WRONG_DISTRACTOR,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,27,grey,1348652,OTHER,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,28,maroon,1303623,OTHER,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,28,maroon,1303623,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,28,maroon,1303623,OTHER,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,28,maroon,1303623,OTHER,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,29,crimson,7653391,WRONG_DISTRACTOR,0.0009,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,29,crimson,7653391,CORRECT,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,29,crimson,7653391,WRONG_DISTRACTOR,0.0008,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,29,crimson,7653391,WRONG_DISTRACTOR,0.0008,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,30,violet,5697356,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,30,violet,5697356,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,30,violet,5697356,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,30,violet,5697356,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,31,black,7216407,CORRECT,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,31,black,7216407,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,31,black,7216407,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,31,black,7216407,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,32,maroon,7065828,CORRECT,0.0009,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,32,maroon,7065828,CORRECT,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,32,maroon,7065828,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,32,maroon,7065828,WRONG_DISTRACTOR,0.0009,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,33,black,5805715,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,33,black,5805715,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,33,black,5805715,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,33,black,5805715,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,34,scarlet,5713498,CORRECT,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,34,scarlet,5713498,CORRECT,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,34,scarlet,5713498,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,34,scarlet,5713498,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,35,scarlet,3146044,CORRECT,0.0011,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,35,scarlet,3146044,CORRECT,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,35,scarlet,3146044,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,35,scarlet,3146044,OTHER,0.001,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,36,indigo,5772917,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,36,indigo,5772917,WRONG_DISTRACTOR,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,36,indigo,5772917,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,36,indigo,5772917,OTHER,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,37,ivory,6151849,CORRECT,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,37,ivory,6151849,CORRECT,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,37,ivory,6151849,WRONG_DISTRACTOR,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,37,ivory,6151849,WRONG_DISTRACTOR,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,38,bronze,1743312,WRONG_DISTRACTOR,0.0008,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,38,bronze,1743312,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,38,bronze,1743312,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,38,bronze,1743312,WRONG_DISTRACTOR,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,39,white,1067738,OTHER,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,39,white,1067738,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,39,white,1067738,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,39,white,1067738,OTHER,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,40,scarlet,2439594,WRONG_DISTRACTOR,0.0008,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,40,scarlet,2439594,WRONG_DISTRACTOR,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,40,scarlet,2439594,WRONG_DISTRACTOR,0.0009,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,40,scarlet,2439594,WRONG_DISTRACTOR,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,41,grey,4162380,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,41,grey,4162380,OTHER,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,41,grey,4162380,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,41,grey,4162380,OTHER,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,42,bronze,7645954,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,42,bronze,7645954,OTHER,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,42,bronze,7645954,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,42,bronze,7645954,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,43,white,2618759,CORRECT,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,43,white,2618759,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,43,white,2618759,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,43,white,2618759,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,44,grey,1066539,CORRECT,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,44,grey,1066539,WRONG_DISTRACTOR,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,44,grey,1066539,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,44,grey,1066539,OTHER,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,45,teal,4795090,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,45,teal,4795090,WRONG_DISTRACTOR,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,45,teal,4795090,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,45,teal,4795090,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,46,navy,1349608,CORRECT,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,46,navy,1349608,OTHER,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,46,navy,1349608,CORRECT,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,46,navy,1349608,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,47,black,3634599,OTHER,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,47,black,3634599,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,47,black,3634599,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,47,black,3634599,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,48,violet,9455034,CORRECT,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,48,violet,9455034,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,48,violet,9455034,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,48,violet,9455034,WRONG_DISTRACTOR,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,49,scarlet,6012756,CORRECT,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,49,scarlet,6012756,WRONG_DISTRACTOR,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,49,scarlet,6012756,WRONG_DISTRACTOR,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,49,scarlet,6012756,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,50,amber,5248831,CORRECT,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,50,amber,5248831,CORRECT,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,50,amber,5248831,WRONG_DISTRACTOR,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,50,amber,5248831,OTHER,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,51,red,1659098,CORRECT,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,51,red,1659098,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,51,red,1659098,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,51,red,1659098,WRONG_DISTRACTOR,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,52,scarlet,4654188,CORRECT,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,52,scarlet,4654188,CORRECT,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,52,scarlet,4654188,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,52,scarlet,4654188,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,53,blue,7515983,CORRECT,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,53,blue,7515983,OTHER,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,53,blue,7515983,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,53,blue,7515983,OTHER,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,54,navy,1495937,CORRECT,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,54,navy,1495937,OTHER,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,54,navy,1495937,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,54,navy,1495937,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,55,ivory,4195089,CORRECT,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,55,ivory,4195089,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,55,ivory,4195089,CORRECT,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,55,ivory,4195089,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,56,ivory,5476179,CORRECT,0.0008,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,56,ivory,5476179,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,56,ivory,5476179,WRONG_DISTRACTOR,0.0009,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,56,ivory,5476179,OTHER,0.0008,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,57,ivory,7492530,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,57,ivory,7492530,WRONG_DISTRACTOR,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,57,ivory,7492530,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,57,ivory,7492530,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,58,navy,5893206,CORRECT,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,58,navy,5893206,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,58,navy,5893206,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,58,navy,5893206,OTHER,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,59,bronze,4714574,CORRECT,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,59,bronze,4714574,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,59,bronze,4714574,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,59,bronze,4714574,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate1,baseline,0,scarlet,3099490,CORRECT,0.0004,
meta-llama/Llama-3.2-3B,cot,gate1,D1_deliverD,0,scarlet,3099490,CORRECT,0.0004,
meta-llama/Llama-3.2-3B,cot,gate1,D2_trueB,0,scarlet,3099490,CORRECT,0.0003,
meta-llama/Llama-3.2-3B,cot,gate1,corr_AB,0,scarlet,3099490,OTHER,0.0004,cw=8699247
meta-llama/Llama-3.2-3B,cot,gate1,corr_BC,0,scarlet,3099490,FOLLOWED_FALSE,0.0003,cw=8699247
meta-llama/Llama-3.2-3B,cot,gate1,corr_CD,0,scarlet,3099490,FOLLOWED_FALSE,0.0004,cw=8699247
meta-llama/Llama-3.2-3B,cot,gate1,baseline,1,indigo,7364070,CORRECT,0.0004,
meta-llama/Llama-3.2-3B,cot,gate1,D1_deliverD,1,indigo,7364070,CORRECT,0.0003,
meta-llama/Llama-3.2-3B,cot,gate1,D2_trueB,1,indigo,7364070,CORRECT,0.0003,
meta-llama/Llama-3.2-3B,cot,gate1,corr_AB,1,indigo,7364070,OTHER,0.0003,cw=8121741
