model,mode,gate,arm,case,sgroup,D,outcome,p0,extra
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,21,olive,6261778,WRONG_DISTRACTOR,0.9314,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,22,black,4767327,WRONG_DISTRACTOR,0.8586,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,22,black,4767327,WRONG_DISTRACTOR,0.6211,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,22,black,4767327,WRONG_DISTRACTOR,0.884,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,22,black,4767327,WRONG_DISTRACTOR,0.8064,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,23,indigo,9899117,WRONG_DISTRACTOR,0.9038,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,23,indigo,9899117,WRONG_DISTRACTOR,0.6903,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,23,indigo,9899117,WRONG_DISTRACTOR,0.8855,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,23,indigo,9899117,WRONG_DISTRACTOR,0.864,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,24,ivory,1948731,WRONG_DISTRACTOR,0.95,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,24,ivory,1948731,WRONG_DISTRACTOR,0.7652,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,24,ivory,1948731,WRONG_DISTRACTOR,0.9421,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,24,ivory,1948731,WRONG_DISTRACTOR,0.9483,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,25,grey,8827166,CORRECT,0.8949,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,25,grey,8827166,WRONG_DISTRACTOR,0.6253,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,25,grey,8827166,CORRECT,0.9032,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,25,grey,8827166,WRONG_DISTRACTOR,0.8722,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,26,green,2451349,CORRECT,0.9336,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,26,green,2451349,WRONG_DISTRACTOR,0.6079,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,26,green,2451349,CORRECT,0.9288,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,26,green,2451349,WRONG_DISTRACTOR,0.8218,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,27,grey,1348652,CORRECT,0.9312,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,27,grey,1348652,CORRECT,0.7037,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,27,grey,1348652,CORRECT,0.9306,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,27,grey,1348652,WRONG_DISTRACTOR,0.9216,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,28,maroon,1303623,WRONG_DISTRACTOR,0.8963,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,28,maroon,1303623,CORRECT,0.5668,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,28,maroon,1303623,CORRECT,0.8871,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,28,maroon,1303623,WRONG_DISTRACTOR,0.8832,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,29,crimson,7653391,WRONG_DISTRACTOR,0.9488,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,29,crimson,7653391,WRONG_DISTRACTOR,0.6286,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,29,crimson,7653391,WRONG_DISTRACTOR,0.9363,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,29,crimson,7653391,WRONG_DISTRACTOR,0.946,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,30,violet,5697356,WRONG_DISTRACTOR,0.9533,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,30,violet,5697356,WRONG_DISTRACTOR,0.7202,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,30,violet,5697356,WRONG_DISTRACTOR,0.947,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,30,violet,5697356,WRONG_DISTRACTOR,0.9511,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,31,black,7216407,CORRECT,0.907,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,31,black,7216407,OTHER,0.4145,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,31,black,7216407,CORRECT,0.8875,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,31,black,7216407,WRONG_DISTRACTOR,0.8385,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,32,maroon,7065828,CORRECT,0.9439,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,32,maroon,7065828,WRONG_DISTRACTOR,0.7329,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,32,maroon,7065828,WRONG_DISTRACTOR,0.9104,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,32,maroon,7065828,WRONG_DISTRACTOR,0.9272,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,33,black,5805715,CORRECT,0.9087,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,33,black,5805715,WRONG_DISTRACTOR,0.4789,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,33,black,5805715,CORRECT,0.9156,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,33,black,5805715,WRONG_DISTRACTOR,0.8605,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,34,scarlet,5713498,CORRECT,0.945,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,34,scarlet,5713498,WRONG_DISTRACTOR,0.6469,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,34,scarlet,5713498,WRONG_DISTRACTOR,0.9484,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,34,scarlet,5713498,WRONG_DISTRACTOR,0.9451,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,35,scarlet,3146044,WRONG_DISTRACTOR,0.9515,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,35,scarlet,3146044,CORRECT,0.5177,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,35,scarlet,3146044,WRONG_DISTRACTOR,0.9607,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,35,scarlet,3146044,WRONG_DISTRACTOR,0.9441,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,36,indigo,5772917,WRONG_DISTRACTOR,0.797,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,36,indigo,5772917,WRONG_DISTRACTOR,0.6344,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,36,indigo,5772917,WRONG_DISTRACTOR,0.8028,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,36,indigo,5772917,WRONG_DISTRACTOR,0.8767,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,37,ivory,6151849,CORRECT,0.9068,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,37,ivory,6151849,WRONG_DISTRACTOR,0.6293,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,37,ivory,6151849,WRONG_DISTRACTOR,0.8836,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,37,ivory,6151849,WRONG_DISTRACTOR,0.8815,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,38,bronze,1743312,CORRECT,0.8649,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,38,bronze,1743312,CORRECT,0.581,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,38,bronze,1743312,CORRECT,0.8015,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,38,bronze,1743312,WRONG_DISTRACTOR,0.8729,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,39,white,1067738,CORRECT,0.945,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,39,white,1067738,CORRECT,0.7382,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,39,white,1067738,CORRECT,0.922,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,39,white,1067738,WRONG_DISTRACTOR,0.9415,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,40,scarlet,2439594,WRONG_DISTRACTOR,0.8461,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,40,scarlet,2439594,WRONG_DISTRACTOR,0.8249,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,40,scarlet,2439594,WRONG_DISTRACTOR,0.8571,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,40,scarlet,2439594,WRONG_DISTRACTOR,0.8183,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,41,grey,4162380,CORRECT,0.8809,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,41,grey,4162380,CORRECT,0.5636,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,41,grey,4162380,CORRECT,0.8927,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,41,grey,4162380,WRONG_DISTRACTOR,0.7553,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,42,bronze,7645954,WRONG_DISTRACTOR,0.916,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,42,bronze,7645954,WRONG_DISTRACTOR,0.5887,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,42,bronze,7645954,WRONG_DISTRACTOR,0.8751,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,42,bronze,7645954,WRONG_DISTRACTOR,0.9314,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,43,white,2618759,WRONG_DISTRACTOR,0.9129,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,43,white,2618759,WRONG_DISTRACTOR,0.6515,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,43,white,2618759,WRONG_DISTRACTOR,0.904,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,43,white,2618759,WRONG_DISTRACTOR,0.9207,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,44,grey,1066539,WRONG_DISTRACTOR,0.9201,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,44,grey,1066539,CORRECT,0.6227,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,44,grey,1066539,WRONG_DISTRACTOR,0.9153,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,44,grey,1066539,WRONG_DISTRACTOR,0.8786,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,45,teal,4795090,WRONG_DISTRACTOR,0.9064,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,45,teal,4795090,WRONG_DISTRACTOR,0.7042,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,45,teal,4795090,WRONG_DISTRACTOR,0.9006,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,45,teal,4795090,WRONG_DISTRACTOR,0.8847,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,46,navy,1349608,CORRECT,0.9419,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,46,navy,1349608,WRONG_DISTRACTOR,0.6331,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,46,navy,1349608,CORRECT,0.9381,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,46,navy,1349608,WRONG_DISTRACTOR,0.9262,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,47,black,3634599,WRONG_DISTRACTOR,0.886,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,47,black,3634599,WRONG_DISTRACTOR,0.7532,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,47,black,3634599,WRONG_DISTRACTOR,0.8749,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,47,black,3634599,WRONG_DISTRACTOR,0.8809,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,48,violet,9455034,CORRECT,0.9225,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,48,violet,9455034,WRONG_DISTRACTOR,0.6425,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,48,violet,9455034,CORRECT,0.9187,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,48,violet,9455034,WRONG_DISTRACTOR,0.8937,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,49,scarlet,6012756,WRONG_DISTRACTOR,0.9157,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,49,scarlet,6012756,WRONG_DISTRACTOR,0.6808,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,49,scarlet,6012756,WRONG_DISTRACTOR,0.9007,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,49,scarlet,6012756,WRONG_DISTRACTOR,0.8991,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,50,amber,5248831,WRONG_DISTRACTOR,0.9302,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,50,amber,5248831,WRONG_DISTRACTOR,0.8407,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,50,amber,5248831,WRONG_DISTRACTOR,0.9385,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,50,amber,5248831,WRONG_DISTRACTOR,0.9167,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,51,red,1659098,WRONG_DISTRACTOR,0.9275,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,51,red,1659098,WRONG_DISTRACTOR,0.8536,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,51,red,1659098,WRONG_DISTRACTOR,0.9115,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,51,red,1659098,WRONG_DISTRACTOR,0.9078,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,52,scarlet,4654188,WRONG_DISTRACTOR,0.9338,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,52,scarlet,4654188,WRONG_DISTRACTOR,0.7315,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,52,scarlet,4654188,WRONG_DISTRACTOR,0.9239,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,52,scarlet,4654188,WRONG_DISTRACTOR,0.9121,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,53,blue,7515983,CORRECT,0.9385,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,53,blue,7515983,WRONG_DISTRACTOR,0.6266,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,53,blue,7515983,CORRECT,0.9464,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,53,blue,7515983,WRONG_DISTRACTOR,0.8606,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,54,navy,1495937,CORRECT,0.8699,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,54,navy,1495937,CORRECT,0.6256,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,54,navy,1495937,CORRECT,0.8781,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,54,navy,1495937,WRONG_DISTRACTOR,0.928,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,55,ivory,4195089,CORRECT,0.8979,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,55,ivory,4195089,WRONG_DISTRACTOR,0.6247,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,55,ivory,4195089,CORRECT,0.9068,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,55,ivory,4195089,WRONG_DISTRACTOR,0.8752,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,56,ivory,5476179,CORRECT,0.8952,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,56,ivory,5476179,WRONG_DISTRACTOR,0.6131,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,56,ivory,5476179,WRONG_DISTRACTOR,0.8812,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,56,ivory,5476179,WRONG_DISTRACTOR,0.8807,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,57,ivory,7492530,CORRECT,0.9206,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,57,ivory,7492530,CORRECT,0.4716,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,57,ivory,7492530,CORRECT,0.9136,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,57,ivory,7492530,WRONG_DISTRACTOR,0.7763,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,58,navy,5893206,WRONG_DISTRACTOR,0.8928,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,58,navy,5893206,WRONG_DISTRACTOR,0.6233,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,58,navy,5893206,WRONG_DISTRACTOR,0.8769,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,58,navy,5893206,WRONG_DISTRACTOR,0.903,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,59,bronze,4714574,WRONG_DISTRACTOR,0.9554,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,59,bronze,4714574,WRONG_DISTRACTOR,0.9137,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,59,bronze,4714574,WRONG_DISTRACTOR,0.9515,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,59,bronze,4714574,WRONG_DISTRACTOR,0.951,
Qwen/Qwen2.5-3B,implicit,gate1,baseline,0,scarlet,3099490,CORRECT,0.9461,
Qwen/Qwen2.5-3B,implicit,gate1,D1_deliverD,0,scarlet,3099490,CORRECT,0.9704,
Qwen/Qwen2.5-3B,implicit,gate1,D2_trueB,0,scarlet,3099490,CORRECT,0.9629,
Qwen/Qwen2.5-3B,implicit,gate1,corr_AB,0,scarlet,3099490,STILL_D,0.9452,cw=8699247
Qwen/Qwen2.5-3B,implicit,gate1,corr_BC,0,scarlet,3099490,STILL_D,0.9467,cw=8699247
Qwen/Qwen2.5-3B,implicit,gate1,corr_CD,0,scarlet,3099490,FOLLOWED_FALSE,0.9439,cw=8699247
Qwen/Qwen2.5-3B,implicit,gate1,baseline,1,indigo,7364070,WRONG_DISTRACTOR,0.9549,
